q,n=q^3-1,|A|,ratio=|A|/n^(1/3),verified_mod,verified_int,addable_count,greedy_final,greedy_ratio
2,7,2,1.045516,True,True,3,3,1.568274
3,26,3,1.012660,True,True,12,4,1.350213
4,63,4,1.005263,True,True,26,5,1.256579
5,124,5,1.002681,True,True,18,6,1.203217
7,342,7,1.000974,True,True,14,8,1.143970
8,511,8,1.000652,True,True,7,9,1.125733
9,728,9,1.000458,True,True,7,10,1.111620
11,1330,11,1.000251,True,True,1,12,1.091182
13,2196,13,1.000152,True,True,0,13,1.000152
16,4095,16,1.000081,True,True,0,16,1.000081
17,4912,17,1.000068,True,True,0,17,1.000068
19,6858,19,1.000049,True,True,0,19,1.000049
23,12166,23,1.000027,True,True,0,23,1.000027
