q,n=q^3-1,|A|,ratio=|A|/n^(1/3),verified_mod,verified_int,addable_count,greedy_final,greedy_ratio
25,15624,25,1.000021,True,True,0,25,1.000021
27,19682,27,1.000017,True,True,0,27,1.000017
29,24388,29,1.000014,True,True,0,29,1.000014
31,29790,31,1.000011,True,True,0,31,1.000011
32,32767,32,1.000010,True,True,0,32,1.000010
37,50652,37,1.000007,True,True,0,37,1.000007
41,68920,41,1.000005,True,True,0,41,1.000005
43,79506,43,1.000004,True,True,0,43,1.000004
47,103822,47,1.000003,True,True,0,47,1.000003
49,117648,49,1.000003,True,True,0,49,1.000003
53,148876,53,1.000002,True,True,0,53,1.000002
59,205378,59,1.000002,True,True,0,59,1.000002
61,226980,61,1.000001,True,True,0,61,1.000001
64,262143,64,1.000001,True,True,0,64,1.000001
