q,n=q^3-1,|A|,ratio=|A|/n^(1/3),verified_mod,verified_int,addable_count,greedy_final,greedy_ratio
2,7,2,1.045516,True,True,3,3,1.568274
3,26,3,1.012660,True,True,12,4,1.350213
4,63,4,1.005263,True,True,26,5,1.256579
5,124,5,1.002681,True,True,18,6,1.203217
7,342,7,1.000974,True,True,14,8,1.143970
8,511,8,1.000652,True,True,7,9,1.125733
9,728,9,1.000458,True,True,7,10,1.111620
11,1330,11,1.000251,True,True,1,12,1.091182
13,2196,13,1.000152,True,True,0,13,1.000152
16,4095,16,1.000081,True,True,0,16,1.000081
17,4912,17,1.000068,True,True,0,17,1.000068
19,6858,19,1.000049,True,True,0,19,1.000049
23,12166,23,1.000027,True,True,0,23,1.000027
25,15624,25,1.000021,True,True,0,25,1.000021
27,19682,27,1.000017,True,True,0,27,1.000017
29,24388,29,1.000014,True,True,0,29,1.000014
31,29790,31,1.000011,True,True,0,31,1.000011
32,32767,32,1.000010,True,True,0,32,1.000010
37,50652,37,1.000007,True,True,0,37,1.000007
41,68920,41,1.000005,True,True,0,41,1.000005
43,79506,43,1.000004,True,True,0,43,1.000004
47,103822,47,1.000003,True,True,0,47,1.000003
49,117648,49,1.000003,True,True,0,49,1.000003
53,148876,53,1.000002,True,True,0,53,1.000002
59,205378,59,1.000002,True,True,0,59,1.000002
61,226980,61,1.000001,True,True,0,61,1.000001
64,262143,64,1.000001,True,True,0,64,1.000001
