N,fN,ratio,seconds,nodes,witness
1,1,1.000000,0.000,2,"1"
2,2,1.587401,0.000,3,"1 2"
3,2,1.386723,0.000,3,"1 2"
4,2,1.259921,0.000,6,"1 2"
5,3,1.754411,0.000,5,"1 2 5"
6,3,1.650964,0.000,7,"1 2 5"
7,3,1.568274,0.000,18,"1 2 5"
8,3,1.500000,0.000,32,"1 2 5"
9,3,1.442250,0.000,53,"1 2 5"
10,3,1.392477,0.000,81,"1 2 5"
11,3,1.348933,0.000,116,"1 2 5"
12,4,1.747161,0.000,32,"1 2 8 12"
13,4,1.701161,0.000,44,"1 2 8 12"
14,4,1.659653,0.000,106,"1 2 8 12"
15,4,1.621921,0.000,193,"1 2 8 12"
16,4,1.587401,0.000,313,"1 2 8 12"
17,4,1.555644,0.000,472,"1 2 8 12"
18,4,1.526286,0.000,682,"1 2 8 12"
19,4,1.499025,0.000,961,"1 2 8 12"
20,4,1.473613,0.000,1301,"1 2 8 12"
21,4,1.449840,0.000,1734,"1 2 8 12"
22,4,1.427532,0.000,2274,"1 2 8 12"
23,4,1.406536,0.000,2921,"1 2 8 12"
24,5,1.733403,0.000,522,"1 2 16 19 24"
25,5,1.709976,0.000,629,"1 2 16 19 24"
26,5,1.687766,0.000,1410,"1 2 16 19 24"
27,5,1.666667,0.000,2330,"1 2 16 19 24"
28,5,1.646584,0.000,3475,"1 2 16 19 24"
29,5,1.627436,0.000,4838,"1 2 16 19 24"
30,5,1.609149,0.000,6486,"1 2 16 19 24"
31,5,1.591657,0.001,8482,"1 2 16 19 24"
32,5,1.574901,0.001,10866,"1 2 16 19 24"
33,5,1.558830,0.001,13688,"1 2 16 19 24"
34,5,1.543395,0.001,17106,"1 2 16 19 24"
35,5,1.528554,0.001,21122,"1 2 16 19 24"
36,5,1.514267,0.002,25862,"1 2 16 19 24"
37,5,1.500500,0.002,31598,"1 2 16 19 24"
38,5,1.487221,0.003,38404,"1 2 16 19 24"
39,5,1.474399,0.003,46440,"1 2 16 19 24"
40,5,1.462009,0.004,55916,"1 2 16 19 24"
41,5,1.450025,0.005,66906,"1 2 16 19 24"
42,5,1.438424,0.006,79712,"1 2 16 19 24"
43,5,1.427186,0.007,94734,"1 2 16 19 24"
44,5,1.416291,0.009,112016,"1 2 16 19 24"
45,5,1.405721,0.011,132038,"1 2 16 19 24"
46,6,1.674552,0.002,16658,"1 3 12 27 43 46"
47,6,1.662591,0.002,19021,"1 3 12 27 43 46"
48,6,1.650964,0.004,41072,"1 3 12 27 43 46"
49,6,1.639655,0.006,66486,"1 3 12 27 43 46"
50,6,1.628651,0.009,95977,"1 3 12 27 43 46"
51,6,1.617935,0.012,129478,"1 3 12 27 43 46"
52,6,1.607497,0.016,168035,"1 3 12 27 43 46"
53,6,1.597323,0.021,211766,"1 3 12 27 43 46"
54,6,1.587401,0.026,261162,"1 3 12 27 43 46"
55,6,1.577722,0.031,317125,"1 3 12 27 43 46"
56,6,1.568274,0.038,380631,"1 3 12 27 43 46"
57,6,1.559049,0.045,451559,"1 3 12 27 43 46"
58,6,1.550036,0.054,531689,"1 3 12 27 43 46"
59,6,1.541229,0.063,621565,"1 3 12 27 43 46"
60,6,1.532619,0.074,721933,"1 3 12 27 43 46"
61,6,1.524198,0.086,833968,"1 3 12 27 43 46"
62,6,1.515959,0.100,959603,"1 3 12 27 43 46"
63,6,1.507895,0.115,1099118,"1 3 12 27 43 46"
64,6,1.500000,0.136,1255236,"1 3 12 27 43 46"
65,6,1.492268,0.157,1428535,"1 3 12 27 43 46"
66,6,1.484693,0.178,1621257,"1 3 12 27 43 46"
67,6,1.477269,0.205,1836487,"1 3 12 27 43 46"
68,6,1.469992,0.237,2076182,"1 3 12 27 43 46"
69,6,1.462856,0.276,2341261,"1 3 12 27 43 46"
70,6,1.455857,0.312,2636939,"1 3 12 27 43 46"
71,6,1.448989,0.353,2964579,"1 3 12 27 43 46"
72,6,1.442250,0.401,3327990,"1 3 12 27 43 46"
73,6,1.435634,0.460,3731639,"1 3 12 27 43 46"
74,6,1.429137,0.504,4178817,"1 3 12 27 43 46"
75,6,1.422757,0.564,4673763,"1 3 12 27 43 46"
76,6,1.416490,0.637,5222832,"1 3 12 27 43 46"
77,6,1.410331,0.705,5829247,"1 3 12 27 43 46"
78,6,1.404278,0.788,6500200,"1 3 12 27 43 46"
79,6,1.398327,0.880,7243066,"1 3 12 27 43 46"
80,6,1.392477,0.983,8060966,"1 3 12 27 43 46"
81,6,1.386723,1.127,8963214,"1 3 12 27 43 46"
82,6,1.381062,1.238,9963504,"1 3 12 27 43 46"
83,7,1.604742,0.122,824359,"1 2 8 51 60 79 83"
84,7,1.598349,0.136,911864,"1 2 8 51 60 79 83"
85,7,1.592056,0.273,1925392,"1 2 8 51 60 79 83"
86,7,1.585861,0.442,3054850,"1 2 8 51 60 79 83"
87,7,1.579762,0.625,4300124,"1 2 8 51 60 79 83"
88,7,1.573755,0.831,5685443,"1 2 8 51 60 79 83"
89,7,1.567839,1.050,7217345,"1 2 8 51 60 79 83"
90,7,1.562010,1.335,8901115,"1 2 8 51 60 79 83"
91,7,1.556267,1.561,10758768,"1 2 8 51 60 79 83"
92,7,1.550608,1.856,12809880,"1 2 8 51 60 79 83"
93,7,1.545031,2.244,15055083,"1 2 8 51 60 79 83"
94,7,1.539532,2.645,17527210,"1 2 8 51 60 79 83"
95,7,1.534111,3.045,20243855,"1 2 8 51 60 79 83"
96,7,1.528766,3.569,23207850,"1 2 8 51 60 79 83"
97,7,1.523494,4.057,26449716,"1 2 8 51 60 79 83"
98,7,1.518294,4.770,30010896,"1 2 8 51 60 79 83"
99,7,1.513165,5.282,33880559,"1 2 8 51 60 79 83"
100,7,1.508104,5.688,38109052,"1 2 8 51 60 79 83"
101,7,1.503111,6.409,42717703,"1 2 8 51 60 79 83"
102,7,1.498182,7.179,47715735,"1 2 8 51 60 79 83"
103,7,1.493318,8.155,53159198,"1 2 8 51 60 79 83"
104,7,1.488516,9.419,59085554,"1 2 8 51 60 79 83"
105,7,1.483776,10.085,65484968,"1 2 8 51 60 79 83"
106,7,1.479095,11.012,72437636,"1 2 8 51 60 79 83"
107,7,1.474473,12.653,79971752,"1 2 8 51 60 79 83"
108,7,1.469908,14.009,88112371,"1 2 8 51 60 79 83"
109,7,1.465399,15.350,96909752,"1 2 8 51 60 79 83"
110,7,1.460945,16.873,106436337,"1 2 8 51 60 79 83"
111,7,1.456544,18.779,116688887,"1 2 8 51 60 79 83"
112,7,1.452196,20.717,127771241,"1 2 8 51 60 79 83"
113,7,1.447900,22.504,139718783,"1 2 8 51 60 79 83"
114,7,1.443654,24.880,152561918,"1 2 8 51 60 79 83"
115,7,1.439457,26.951,166401895,"1 2 8 51 60 79 83"
116,7,1.435309,29.408,181326770,"1 2 8 51 60 79 83"
117,7,1.431208,32.591,197326921,"1 2 8 51 60 79 83"
118,7,1.427154,36.166,214576622,"1 2 8 51 60 79 83"
119,7,1.423145,39.439,233120022,"1 2 8 51 60 79 83"
120,7,1.419180,42.486,252999184,"1 2 8 51 60 79 83"
121,7,1.415260,46.532,274336834,"1 2 8 51 60 79 83"
122,7,1.411383,49.965,297283849,"1 2 8 51 60 79 83"
123,7,1.407547,53.904,321841179,"1 2 8 51 60 79 83"
124,7,1.403753,59.288,348206172,"1 2 8 51 60 79 83"
125,7,1.400000,63.973,376459849,"1 2 8 51 60 79 83"
126,7,1.396286,71.272,406684708,"1 2 8 51 60 79 83"
127,7,1.392612,78.232,439091021,"1 2 8 51 60 79 83"
128,7,1.388976,84.568,473871036,"1 2 8 51 60 79 83"
129,7,1.385378,90.681,511031939,"1 2 8 51 60 79 83"
130,8,1.579218,6.291,28673228,"1 3 6 35 75 108 121 130"
131,8,1.575190,6.656,30644519,"1 3 6 35 75 108 121 130"
132,8,1.571202,13.628,63653288,"1 3 6 35 75 108 121 130"
133,8,1.567254,21.356,99275445,"1 3 6 35 75 108 121 130"
134,8,1.563346,29.964,137689591,"1 3 6 35 75 108 121 130"
135,8,1.559476,39.213,179012504,"1 3 6 35 75 108 121 130"
136,8,1.555644,50.382,223510583,"1 3 6 35 75 108 121 130"
137,8,1.551850,61.023,271460571,"1 3 6 35 75 108 121 130"
138,8,1.548093,71.161,322987997,"1 3 6 35 75 108 121 130"
139,8,1.544371,88.111,378459639,"1 3 6 35 75 108 121 130"
140,8,1.540685,115.803,438116538,"1 3 6 35 75 108 121 130"
141,8,1.537035,125.883,502171392,"1 3 6 35 75 108 121 130"
142,8,1.533418,123.582,571000284,"1 3 6 35 75 108 121 130"
143,8,1.529835,139.984,645011939,"1 3 6 35 75 108 121 130"
144,8,1.526286,156.148,724329354,"1 3 6 35 75 108 121 130"
145,8,1.522769,173.344,809475848,"1 3 6 35 75 108 121 130"
146,8,1.519284,192.541,900899510,"1 3 6 35 75 108 121 130"
147,8,1.515831,215.869,998798576,"1 3 6 35 75 108 121 130"
148,8,1.512410,238.454,1103840527,"1 3 6 35 75 108 121 130"
149,8,1.509019,260.560,1216445936,"1 3 6 35 75 108 121 130"
150,8,1.505658,285.108,1336922670,"1 3 6 35 75 108 121 130"
151,8,1.502327,313.343,1466015910,"1 3 6 35 75 108 121 130"
152,8,1.499025,343.064,1604305283,"1 3 6 35 75 108 121 130"
153,8,1.495752,376.804,1752069249,"1 3 6 35 75 108 121 130"
154,8,1.492507,407.470,1910240860,"1 3 6 35 75 108 121 130"
155,8,1.489291,553.374,2079482795,"1 3 6 35 75 108 121 130"
156,8,1.486101,481.537,2260170736,"1 3 6 35 75 108 121 130"
157,8,1.482940,521.974,2453276643,"1 3 6 35 75 108 121 130"
158,8,1.479804,569.887,2659889992,"1 3 6 35 75 108 121 130"
159,8,1.476695,617.813,2880133389,"1 3 6 35 75 108 121 130"
