m,gm,ratio6,ratio2,seconds,nodes,witness
3,1,0.381571,0.550321,0.000,1,"0"
4,2,0.693361,1.000000,0.000,2,"0 1"
5,2,0.643660,0.928318,0.000,4,"0 1"
6,2,0.605707,0.873580,0.000,2,"0 1"
7,2,0.575370,0.829827,0.000,6,"0 1"
8,2,0.550321,0.793701,0.000,6,"0 1"
9,2,0.529134,0.763143,0.000,6,"0 1"
10,2,0.510873,0.736806,0.000,8,"0 1"
11,2,0.494898,0.713766,0.000,10,"0 1"
12,2,0.480750,0.693361,0.000,8,"0 1"
13,3,0.702139,1.012660,0.000,21,"0 1 4"
14,3,0.685007,0.987951,0.000,25,"0 1 4"
15,3,0.669433,0.965489,0.000,21,"0 1 4"
16,3,0.655185,0.944941,0.000,43,"0 1 4"
17,3,0.642078,0.926037,0.000,57,"0 1 4"
18,3,0.629961,0.908560,0.000,43,"0 1 4"
19,3,0.618709,0.892333,0.000,81,"0 1 4"
20,3,0.608220,0.877205,0.000,91,"0 1 4"
21,3,0.598408,0.863054,0.000,75,"0 1 4"
22,3,0.589201,0.849775,0.000,97,"0 1 4"
23,3,0.580535,0.837276,0.000,141,"0 1 4"
24,3,0.572357,0.825482,0.000,103,"0 1 4"
25,3,0.564622,0.814325,0.000,189,"0 1 4"
26,3,0.557288,0.803748,0.000,163,"0 1 4"
27,3,0.550321,0.793701,0.000,171,"0 1 4"
28,3,0.543690,0.784137,0.000,223,"0 1 4"
29,3,0.537368,0.775018,0.000,261,"0 1 4"
30,4,0.708439,1.021746,0.000,200,"0 1 5 19"
31,3,0.525554,0.757979,0.000,309,"0 1 4"
32,4,0.693361,1.000000,0.000,346,"0 1 4 13"
33,3,0.514714,0.742346,0.000,279,"0 1 4"
34,4,0.679490,0.979995,0.000,438,"0 1 4 22"
35,4,0.672956,0.970571,0.000,636,"0 1 4 14"
36,4,0.666667,0.961500,0.000,434,"0 1 4 23"
37,4,0.660606,0.952758,0.000,714,"0 1 4 16"
38,4,0.654759,0.944326,0.000,846,"0 1 4 15"
39,4,0.649115,0.936185,0.000,612,"0 1 5 12"
40,4,0.643660,0.928318,0.000,1238,"0 1 4 13"
41,4,0.638383,0.920708,0.000,1318,"0 1 4 13"
42,4,0.633276,0.913342,0.000,1136,"0 1 4 13"
43,4,0.628328,0.906207,0.000,1740,"0 1 4 13"
44,4,0.623532,0.899289,0.000,1886,"0 1 4 13"
45,4,0.618879,0.892577,0.000,1704,"0 1 4 13"
46,4,0.614361,0.886062,0.001,2486,"0 1 4 13"
47,4,0.609973,0.879733,0.001,2864,"0 1 4 13"
48,4,0.605707,0.873580,0.000,2320,"0 1 4 13"
49,4,0.601558,0.867597,0.001,3730,"0 1 4 13"
50,4,0.597521,0.861774,0.001,3842,"0 1 4 13"
